Entity,Code,Year,Age of electoral democracy
Afghanistan,AFG,1789,not an electoral democracy
Afghanistan,AFG,1790,not an electoral democracy
Afghanistan,AFG,1791,not an electoral democracy
Afghanistan,AFG,1792,not an electoral democracy
Afghanistan,AFG,1793,not an electoral democracy
Afghanistan,AFG,1794,not an electoral democracy
Afghanistan,AFG,1795,not an electoral democracy
Afghanistan,AFG,1796,not an electoral democracy
Afghanistan,AFG,1797,not an electoral democracy
Afghanistan,AFG,1798,not an electoral democracy
Afghanistan,AFG,1799,not an electoral democracy
Afghanistan,AFG,1800,not an electoral democracy
Afghanistan,AFG,1801,not an electoral democracy
Afghanistan,AFG,1802,not an electoral democracy
Afghanistan,AFG,1803,not an electoral democracy
Afghanistan,AFG,1804,not an electoral democracy
Afghanistan,AFG,1805,not an electoral democracy
Afghanistan,AFG,1806,not an electoral democracy
Afghanistan,AFG,1807,not an electoral democracy
Afghanistan,AFG,1808,not an electoral democracy
Afghanistan,AFG,1809,not an electoral democracy
Afghanistan,AFG,1810,not an electoral democracy
Afghanistan,AFG,1811,not an electoral democracy
Afghanistan,AFG,1812,not an electoral democracy
Afghanistan,AFG,1813,not an electoral democracy
Afghanistan,AFG,1814,not an electoral democracy
Afghanistan,AFG,1815,not an electoral democracy
Afghanistan,AFG,1816,not an electoral democracy
Afghanistan,AFG,1817,not an electoral democracy
Afghanistan,AFG,1818,not an electoral democracy
Afghanistan,AFG,1819,not an electoral democracy
Afghanistan,AFG,1820,not an electoral democracy
Afghanistan,AFG,1821,not an electoral democracy
Afghanistan,AFG,1822,not an electoral democracy
Afghanistan,AFG,1823,not an electoral democracy
Afghanistan,AFG,1824,not an electoral democracy
Afghanistan,AFG,1825,not an electoral democracy
Afghanistan,AFG,1826,not an electoral democracy
Afghanistan,AFG,1827,not an electoral democracy
Afghanistan,AFG,1828,not an electoral democracy
Afghanistan,AFG,1829,not an electoral democracy
Afghanistan,AFG,1830,not an electoral democracy
Afghanistan,AFG,1831,not an electoral democracy
Afghanistan,AFG,1832,not an electoral democracy
Afghanistan,AFG,1833,not an electoral democracy
Afghanistan,AFG,1834,not an electoral democracy
Afghanistan,AFG,1835,not an electoral democracy
Afghanistan,AFG,1836,not an electoral democracy
Afghanistan,AFG,1837,not an electoral democracy
Afghanistan,AFG,1838,not an electoral democracy
Afghanistan,AFG,1839,not an electoral democracy
Afghanistan,AFG,1840,not an electoral democracy
Afghanistan,AFG,1841,not an electoral democracy
Afghanistan,AFG,1842,not an electoral democracy
Afghanistan,AFG,1843,not an electoral democracy
Afghanistan,AFG,1844,not an electoral democracy
Afghanistan,AFG,1845,not an electoral democracy
Afghanistan,AFG,1846,not an electoral democracy
Afghanistan,AFG,1847,not an electoral democracy
Afghanistan,AFG,1848,not an electoral democracy
Afghanistan,AFG,1849,not an electoral democracy
Afghanistan,AFG,1850,not an electoral democracy
Afghanistan,AFG,1851,not an electoral democracy
Afghanistan,AFG,1852,not an electoral democracy
Afghanistan,AFG,1853,not an electoral democracy
Afghanistan,AFG,1854,not an electoral democracy
Afghanistan,AFG,1855,not an electoral democracy
Afghanistan,AFG,1856,not an electoral democracy
Afghanistan,AFG,1857,not an electoral democracy
Afghanistan,AFG,1858,not an electoral democracy
Afghanistan,AFG,1859,not an electoral democracy
Afghanistan,AFG,1860,not an electoral democracy
Afghanistan,AFG,1861,not an electoral democracy
Afghanistan,AFG,1862,not an electoral democracy
Afghanistan,AFG,1863,not an electoral democracy
Afghanistan,AFG,1864,not an electoral democracy
